Date,Open,High,Low,Close,Volume
2023-12-12 00:00:00+07:00,58.0,59.0,57.0,59.0,10030100
2023-12-13 00:00:00+07:00,59.0,60.0,54.0,55.0,36519600
2023-12-14 00:00:00+07:00,55.0,58.0,53.0,54.0,25249000
2023-12-15 00:00:00+07:00,64.0,64.0,54.0,56.0,4110200
2023-12-18 00:00:00+07:00,56.0,56.0,52.0,53.0,10720600
2023-12-19 00:00:00+07:00,54.0,54.0,53.0,53.0,2111100
2023-12-20 00:00:00+07:00,54.0,57.0,54.0,55.0,17642000
2023-12-21 00:00:00+07:00,55.0,56.0,54.0,55.0,5106500
2023-12-22 00:00:00+07:00,57.0,57.0,54.0,55.0,12394200
2023-12-27 00:00:00+07:00,56.0,56.0,54.0,55.0,7365600
2023-12-28 00:00:00+07:00,56.0,60.0,55.0,57.0,25482000
2023-12-29 00:00:00+07:00,57.0,57.0,55.0,55.0,11201000
2024-01-02 00:00:00+07:00,56.0,57.0,55.0,57.0,4044400
2024-01-03 00:00:00+07:00,57.0,58.0,56.0,57.0,7688500
2024-01-04 00:00:00+07:00,56.0,56.0,54.0,55.0,7583900
2024-01-05 00:00:00+07:00,56.0,56.0,54.0,55.0,3413600
2024-01-08 00:00:00+07:00,56.0,56.0,54.0,55.0,3238100
2024-01-09 00:00:00+07:00,55.0,57.0,52.0,53.0,20418100
2024-01-10 00:00:00+07:00,54.0,54.0,52.0,52.0,2679500
2024-01-11 00:00:00+07:00,53.0,54.0,52.0,54.0,5230300
2024-01-12 00:00:00+07:00,54.0,54.0,52.0,53.0,6668200
2024-01-15 00:00:00+07:00,53.0,54.0,52.0,53.0,1808800
2024-01-16 00:00:00+07:00,53.0,56.0,52.0,53.0,23246300
2024-01-17 00:00:00+07:00,53.0,53.0,52.0,52.0,4340800
2024-01-18 00:00:00+07:00,52.0,53.0,52.0,52.0,5480300
2024-01-19 00:00:00+07:00,52.0,53.0,52.0,52.0,1248800
2024-01-22 00:00:00+07:00,52.0,53.0,52.0,53.0,529000
2024-01-23 00:00:00+07:00,53.0,53.0,52.0,52.0,1054900
2024-01-24 00:00:00+07:00,53.0,56.0,51.0,52.0,34476800
2024-01-25 00:00:00+07:00,53.0,56.0,51.0,55.0,18194400
2024-01-26 00:00:00+07:00,55.0,58.0,54.0,57.0,23997700
2024-01-29 00:00:00+07:00,57.0,59.0,54.0,56.0,13843100
2024-01-30 00:00:00+07:00,57.0,57.0,54.0,54.0,7491600
2024-01-31 00:00:00+07:00,55.0,57.0,54.0,54.0,8832500
2024-02-01 00:00:00+07:00,55.0,55.0,54.0,54.0,1388900
2024-02-02 00:00:00+07:00,54.0,55.0,53.0,53.0,7701000
2024-02-05 00:00:00+07:00,53.0,53.0,51.0,52.0,14812200
2024-02-06 00:00:00+07:00,53.0,53.0,50.0,51.0,6591600
2024-02-07 00:00:00+07:00,51.0,52.0,50.0,51.0,7016200
2024-02-12 00:00:00+07:00,51.0,52.0,50.0,50.0,2525800
2024-02-13 00:00:00+07:00,51.0,51.0,50.0,50.0,4130200
2024-02-15 00:00:00+07:00,51.0,53.0,50.0,51.0,14644600
2024-02-16 00:00:00+07:00,51.0,52.0,50.0,52.0,2055900
2024-02-19 00:00:00+07:00,51.0,52.0,50.0,51.0,3800400
2024-02-20 00:00:00+07:00,50.0,52.0,50.0,51.0,2004500
2024-02-21 00:00:00+07:00,51.0,52.0,50.0,51.0,4646300
2024-02-22 00:00:00+07:00,51.0,52.0,50.0,51.0,10332500
2024-02-23 00:00:00+07:00,51.0,52.0,50.0,52.0,1123400
2024-02-26 00:00:00+07:00,52.0,52.0,50.0,51.0,3155000
2024-02-27 00:00:00+07:00,51.0,52.0,50.0,50.0,4957300
2024-02-28 00:00:00+07:00,51.0,51.0,50.0,51.0,767500
2024-02-29 00:00:00+07:00,51.0,51.0,50.0,50.0,364600
2024-03-01 00:00:00+07:00,51.0,51.0,50.0,50.0,2015000
2024-03-04 00:00:00+07:00,51.0,52.0,51.0,52.0,5698000
2024-03-05 00:00:00+07:00,52.0,53.0,51.0,53.0,3453500
2024-03-06 00:00:00+07:00,53.0,53.0,51.0,52.0,2752900
2024-03-07 00:00:00+07:00,52.0,53.0,51.0,52.0,15069700
2024-03-08 00:00:00+07:00,52.0,52.0,51.0,52.0,6096300
2024-03-13 00:00:00+07:00,51.0,52.0,50.0,52.0,2854800
2024-03-14 00:00:00+07:00,51.0,52.0,50.0,50.0,28208700
2024-03-15 00:00:00+07:00,50.0,51.0,50.0,51.0,8604700
2024-03-18 00:00:00+07:00,51.0,51.0,50.0,50.0,4228100
2024-03-19 00:00:00+07:00,51.0,51.0,50.0,50.0,7491400
2024-03-20 00:00:00+07:00,50.0,51.0,50.0,51.0,4763100
2024-03-21 00:00:00+07:00,50.0,51.0,50.0,51.0,6092900
2024-03-22 00:00:00+07:00,51.0,51.0,50.0,50.0,4708000
2024-03-25 00:00:00+07:00,51.0,51.0,50.0,50.0,3088000
